Row Labels,Owed,Dollar,Per student,Per student dollar
ALBANY,57044146,"$57,044,146",1467.71,"$1,467.71"
ALLEGANY,11398724,"$11,398,724",1807.89,"$1,807.89"
BROOME,45379088,"$45,379,088",1722.04,"$1,722.04"
CATTARAUGUS ,17711138,"$17,711,138",1414.29,"$1,414.29"
CAYUGA ,7787089,"$7,787,089",837.68,$837.68
CHAUTAUQUA ,23457050,"$23,457,050",1379.91,"$1,379.91"
CHEMUNG ,18724738,"$18,724,738",1646.71,"$1,646.71"
CHENANGO ,3865379,"$3,865,379",533.67,$533.67
CLINTON ,3599574,"$3,599,574",335.19,$335.19
COLUMBIA ,,,,
CORTLAND,8504415,"$8,504,415",1348.84,"$1,348.84"
DELAWARE ,3059818,"$3,059,818",575.26,$575.26
DUTCHESS,58802866,"$58,802,866",1498.39,"$1,498.39"
ERIE,194010282,"$194,010,282",1568.14,"$1,568.14"
ESSEX,1277182,"$1,277,182",347.25,$347.25
FRANKLIN,7861605,"$7,861,605",1107.74,"$1,107.74"
FULTON,3209334,"$3,209,334",430.26,$430.26
GENESEE,7534242,"$7,534,242",952.74,$952.74
GREENE,1218591,"$1,218,591",212.26,$212.26
HAMILTON,,,,
HERKIMER,7975800,"$7,975,800",883.65,$883.65
JEFFERSON,24286296,"$24,286,296",1390.57,"$1,390.57"
LEWIS,2378766,"$2,378,766",593.80,$593.80
LIVINGSTON,7801096,"$7,801,096",1147.90,"$1,147.90"
MADISON,2969525,"$2,969,525",316.41,$316.41
MONROE,199399066,"$199,399,066",1874.25,"$1,874.25"
MONTGOMERY,12581965,"$12,581,965",1722.14,"$1,722.14"
NASSAU,424127330,"$424,127,330",2246.82,"$2,246.82"
New York,1459181316,"$1,459,181,316",1374.63,"$1,374.63"
NIAGARA,34007633,"$34,007,633",1204.11,"$1,204.11"
ONEIDA,65516545,"$65,516,545",1932.36,"$1,932.36"
ONONDAGA,99817868,"$99,817,868",1454.56,"$1,454.56"
ONTARIO,17196133,"$17,196,133",1100.13,"$1,100.13"
ORANGE,167102575,"$167,102,575",2856.80,"$2,856.80"
ORLEANS,6601072,"$6,601,072",1192.17,"$1,192.17"
OSWEGO,31195726,"$31,195,726",1646.04,"$1,646.04"
OTSEGO,2534383,"$2,534,383",374.02,$374.02
PUTNAM,7968521,"$7,968,521",871.35,$871.35
RENSSELAER,31893486,"$31,893,486",1584.14,"$1,584.14"
ROCKLAND,90249541,"$90,249,541",2246.52,"$2,246.52"
SARATOGA,20539820,"$20,539,820",614.58,$614.58
SCHENECTADY,59680864,"$59,680,864",2734.64,"$2,734.64"
SCHOHARIE,194764,"$194,764",47.89,$47.89
SCHUYLER,1169630,"$1,169,630",652.33,$652.33
SENECA,5054122,"$5,054,122",1264.48,"$1,264.48"
ST. LAWRENCE,20734892,"$20,734,892",1421.56,"$1,421.56"
STEUBEN,4664064,"$4,664,064",373.69,$373.69
SUFFOLK ,483898419,"$483,898,419",2039.95,"$2,039.95"
SULLIVAN,22568642,"$22,568,642",2423.09,"$2,423.09"
TIOGA,9790502,"$9,790,502",1358.09,"$1,358.09"
TOMPKINS,3941666,"$3,941,666",368.97,$368.97
ULSTER,31156921,"$31,156,921",1388.58,"$1,388.58"
WARREN,4449906,"$4,449,906",509.96,$509.96
WASHINGTON ,7934601,"$7,934,601",948.55,$948.55
WAYNE,22118601,"$22,118,601",1620.05,"$1,620.05"
WESTCHESTER,190610963,"$190,610,963",1352.78,"$1,352.78"
WYOMING,1236424,"$1,236,424",318.01,$318.01
YATES,,,,